name,time,bytes,frame
AK12_D1_C_2147482109,0.051,10,3930
AK12_D1_C_2147482109,0.052,10,3931
AK12_D1_C_2147482109,0.05,10,3932
AK12_D1_C_2147482109,0.064,10,3933
AK12_D1_C_2147482109,0.053,10,3934
AK12_D1_C_2147482109,0.052,10,3935
AK12_D1_C_2147482109,0.058,10,3936
AK12_D1_C_2147482109,0.056,17,3937
AK12_D1_C_2147482109,0.052,10,3938
AK12_D1_C_2147482109,0.055,10,3939
AK12_D1_C_2147482109,0.052,10,3981
AK12_D1_C_2147482109,0.054,10,3985
AK12_D1_C_2147482109,0.052,10,4089
AK12_D1_C_2147482109,0.055,10,4108
AK12_D1_C_2147482109,0.055,10,4115
AK12_D1_C_2147482109,0.056,10,4124
AK12_D1_C_2147482109,0.071,126,4128
AK12_D1_C_2147482109,0.052,10,4129
AK12_D1_C_2147482109,0.061,10,4130
AK12_D1_C_2147482109,0.052,10,4131
AK12_D1_C_2147482109,0.054,10,4132
AK12_D1_C_2147482109,0.052,10,4133
AK12_D1_C_2147482109,0.052,10,4134
AK12_D1_C_2147482109,0.067,81,4135
AK12_D1_C_2147482109,0.053,10,4136
AK12_D1_C_2147482109,0.051,10,4137
AK12_D1_C_2147482109,0.052,10,4138
AK12_D1_C_2147482109,0.052,10,4139
AK12_D1_C_2147482109,0.071,10,4140
AK12_D1_C_2147482109,0.062,10,4141
AK12_D1_C_2147482109,0.087,81,4142
AK12_D1_C_2147482109,0.058,10,4143
AK12_D1_C_2147482109,0.061,10,4144
AK12_D1_C_2147482109,0.058,10,4145
AK12_D1_C_2147482109,0.056,10,4146
AK12_D1_C_2147482109,0.056,10,4147
AK12_D1_C_2147482109,0.053,10,4148
AK12_D1_C_2147482109,0.069,76,4149
AK12_D1_C_2147482109,0.054,10,4150
AK12_D1_C_2147482109,0.053,10,4151
AK12_D1_C_2147482109,0.053,10,4152
AK12_D1_C_2147482109,0.054,10,4153
AK12_D1_C_2147482109,0.051,10,4154
AK12_D1_C_2147482109,0.053,10,4155
AK12_D1_C_2147482109,0.066,81,4156
AK12_D1_C_2147482109,0.073,10,4157
AK12_D1_C_2147482109,0.058,10,4158
AK12_D1_C_2147482109,0.058,10,4159
AK12_D1_C_2147482109,0.056,10,4160
AK12_D1_C_2147482109,0.055,10,4161
AK12_D1_C_2147482109,0.054,10,4162
AK12_D1_C_2147482109,0.052,10,4163
AK12_D1_C_2147482109,0.065,10,4164
AK12_D1_C_2147482109,0.052,10,4165
AK12_D1_C_2147482109,0.069,10,4166
AK12_D1_C_2147482109,0.053,10,4167
AK12_D1_C_2147482109,0.056,17,4168
AK12_D1_C_2147482109,0.052,10,4169
AK12_D1_C_2147482109,0.052,10,4170
AK12_D1_C_2147482109,0.106,81,4185
AK12_D1_C_2147482109,0.057,10,4186
AK12_D1_C_2147482109,0.089,10,4187
AK12_D1_C_2147482109,0.106,10,4188
AK12_D1_C_2147482109,0.106,10,4189
AK12_D1_C_2147482109,0.061,10,4190
AK12_D1_C_2147482109,0.097,10,4191
AK12_D1_C_2147482109,0.077,81,4192
AK12_D1_C_2147482109,0.097,10,4193
AK12_D1_C_2147482109,0.112,10,4194
AK12_D1_C_2147482109,0.088,10,4195
AK12_D1_C_2147482109,0.057,10,4196
AK12_D1_C_2147482109,0.087,10,4197
AK12_D1_C_2147482109,0.056,10,4198
AK12_D1_C_2147482109,0.101,76,4199
AK12_D1_C_2147482109,0.058,10,4200
AK12_D1_C_2147482109,0.086,10,4201
AK12_D1_C_2147482109,0.054,10,4202
AK12_D1_C_2147482109,0.092,10,4203
AK12_D1_C_2147482109,0.058,10,4204
AK12_D1_C_2147482109,0.087,10,4205
AK12_D1_C_2147482109,0.103,76,4206
AK12_D1_C_2147482109,0.086,10,4207
AK12_D1_C_2147482109,0.066,10,4208
AK12_D1_C_2147482109,0.088,10,4209
AK12_D1_C_2147482109,0.066,10,4210
AK12_D1_C_2147482109,0.089,10,4211
AK12_D1_C_2147482109,0.052,10,4212
AK12_D1_C_2147482109,0.102,81,4213
AK12_D1_C_2147482109,0.053,10,4214
AK12_D1_C_2147482109,0.087,10,4215
AK12_D1_C_2147482109,0.056,10,4216
AK12_D1_C_2147482109,0.104,10,4217
AK12_D1_C_2147482109,0.095,10,4218
AK12_D1_C_2147482109,0.085,10,4219
AK12_D1_C_2147482109,0.056,10,4220
AK12_D1_C_2147482109,0.104,10,4221
AK12_D1_C_2147482109,0.057,10,4222
AK12_D1_C_2147482109,0.085,10,4223
AK12_D1_C_2147482109,0.085,10,4224
AK12_D1_C_2147482109,0.111,17,4225
AK12_D1_C_2147482109,0.052,10,4226
AK12_D1_C_2147482109,0.086,10,4227
AK12_D1_C_2147482109,0.094,10,4245
AK12_D1_C_2147482109,0.085,10,4254
AK12_D1_C_2147482109,0.1,81,4255
AK12_D1_C_2147482109,0.056,10,4256
AK12_D1_C_2147482109,0.085,10,4257
AK12_D1_C_2147482109,0.058,10,4258
AK12_D1_C_2147482109,0.06,10,4259
AK12_D1_C_2147482109,0.054,10,4260
AK12_D1_C_2147482109,0.094,10,4261
AK12_D1_C_2147482109,0.071,88,4262
AK12_D1_C_2147482109,0.088,10,4263
AK12_D1_C_2147482109,0.06,10,4264
AK12_D1_C_2147482109,0.093,10,4265
AK12_D1_C_2147482109,0.057,10,4266
AK12_D1_C_2147482109,0.094,10,4267
AK12_D1_C_2147482109,0.063,13,4268
AK12_D1_C_2147482109,0.092,10,4269
AK12_D1_C_2147482109,0.056,10,4270
